high,low,open,close,volume,hour
120.34,119.48,120.14,119.57,2674.97428431,8
120.36,119.03,119.51,119.79,5037.229051100003,9
121.88,119.59,119.85,120.99,11432.536223710003,10
123.96,120.61,120.97,120.78,19333.067051820024,11
121.5,120.01,120.78,121.39,11212.62347356,12
122.76,121.21,121.34,121.77,7168.453431589997,13
122.75,121.76,121.76,122.16,3662.181076980001,14
122.42,121.02,122.1,121.7,7021.661469350002,15
122.94,121.59,121.73,121.59,7439.8580630000015,16
122.0,121.24,121.6,121.98,1529.9343791399988,17
123.29,121.99,121.99,122.45,4748.829128280002,18
122.71,121.84,122.32,122.04,2655.5981592899993,19
122.32,121.62,121.97,122.01,583.8396641900001,20
122.34,121.65,121.94,122.05,3058.5031065700027,21
122.05,121.66,122.05,121.85,2252.0845334699993,22
121.94,120.68,121.82,120.98,2542.386168259999,23
121.46,120.6,120.99,120.85,5629.315534949994,0
121.82,121.0,121.0,121.76,1255.3247730499995,1
121.88,121.26,121.82,121.85,1210.1402859,2
121.95,121.47,121.93,121.47,415.84728620000004,3
122.27,121.55,121.56,121.84,1178.4927011999998,4
121.83,120.06,121.8,120.36,5540.810820790002,5
120.96,120.04,120.33,120.75,2991.75350915,6
120.77,118.6,120.75,120.38,3768.6836810699997,7
120.63,120.18,120.38,120.26,1266.8065423799994,8
120.4,119.63,120.34,120.14,2857.044474009998,9
121.52,120.06,120.14,121.47,3097.1652318099996,10
121.44,120.13,121.43,120.28,3319.0559382600013,11
120.28,117.74,120.26,118.75,8312.23333006002,12
120.21,118.65,118.81,119.42,7814.224202340002,13
119.51,118.04,119.28,119.2,3136.48391134,14
119.99,118.97,119.3,119.61,2511.2355241399996,15
119.92,119.36,119.62,119.38,1605.21684847,16
119.94,119.23,119.38,119.3,1635.7025237299983,17
119.78,119.15,119.3,119.78,2073.50075804,18
121.11,119.37,119.62,119.51,6862.473179520016,19
120.41,119.49,119.51,120.25,4380.269861769997,20
120.82,120.01,120.33,120.43,992.06065796,21
120.55,120.04,120.55,120.15,469.80054103000003,22
120.39,120.2,120.28,120.39,376.58294504,23
121.21,120.28,120.39,120.37,2833.25628955,0
120.46,120.14,120.39,120.14,206.71503338000005,1
120.4,120.03,120.18,120.03,3881.360417470002,2
120.63,120.24,120.25,120.62,972.21595399,3
120.66,120.4,120.63,120.61,290.39527512,4
126.49,120.62,120.62,124.66,28921.071366300006,5
